Dataset,WindowSize,Points,BPP,MaxError,AvgError,DecompressSuccess
Track (原始),192,63529,6.283634,1.410755e-05,7.610836e-06,TRUE
Track (5x降采样),16,12705,12.510901,1.407149e-05,7.651773e-06,TRUE
Track (5x降采样),24,12705,12.463754,1.407149e-05,7.651773e-06,TRUE
Track (5x降采样),32,12705,12.421330,1.407150e-05,7.651773e-06,TRUE
Track (5x降采样),48,12705,12.388745,1.407150e-05,7.651773e-06,TRUE
Track (5x降采样),64,12705,12.382527,1.407149e-05,7.651773e-06,TRUE
Track (5x降采样),80,12705,12.380795,1.407150e-05,7.651773e-06,TRUE
Track (5x降采样),96,12705,12.358835,1.407150e-05,7.651773e-06,TRUE
Track (5x降采样),112,12705,12.354978,1.407150e-05,7.651773e-06,TRUE
Track (5x降采样),128,12705,12.357969,1.407149e-05,7.651773e-06,TRUE
Track (5x降采样),144,12705,12.350571,1.407150e-05,7.651773e-06,TRUE
Track (5x降采样),160,12705,12.344510,1.407149e-05,7.651773e-06,TRUE
Track (5x降采样),176,12705,12.348052,1.407149e-05,7.651773e-06,TRUE
Track (5x降采样),192,12705,12.346320,1.407149e-05,7.651773e-06,TRUE
Track (10x降采样),16,6352,16.941908,1.381896e-05,7.652479e-06,TRUE
Track (10x降采样),24,6352,16.865712,1.381896e-05,7.652479e-06,TRUE
Track (10x降采样),32,6352,16.844301,1.381896e-05,7.652479e-06,TRUE
Track (10x降采样),48,6352,16.814232,1.381896e-05,7.652479e-06,TRUE
Track (10x降采样),64,6352,16.797702,1.381896e-05,7.652479e-06,TRUE
Track (10x降采样),80,6352,16.794553,1.381896e-05,7.652479e-06,TRUE
Track (10x降采样),96,6352,16.792506,1.381896e-05,7.652479e-06,TRUE
Track (10x降采样),112,6352,16.790932,1.381896e-05,7.652479e-06,TRUE
Track (10x降采样),128,6352,16.789830,1.381896e-05,7.652479e-06,TRUE
Track (10x降采样),144,6352,16.789043,1.381896e-05,7.652479e-06,TRUE
Track (10x降采样),160,6352,16.788256,1.381896e-05,7.652479e-06,TRUE
Track (10x降采样),176,6352,16.787783,1.381896e-05,7.652479e-06,TRUE
Track (10x降采样),192,6352,16.787311,1.381896e-05,7.652479e-06,TRUE
Track (20x降采样),16,3176,22.372796,1.405740e-05,7.610853e-06,TRUE
Track (20x降采样),24,3176,22.263224,1.405740e-05,7.610853e-06,TRUE
Track (20x降采样),32,3176,22.231738,1.405740e-05,7.610853e-06,TRUE
Track (20x降采样),48,3176,22.221348,1.405740e-05,7.610853e-06,TRUE
Track (20x降采样),64,3176,22.215995,1.405740e-05,7.610853e-06,TRUE
Track (20x降采样),80,3176,22.212846,1.405740e-05,7.610853e-06,TRUE
Track (20x降采样),96,3176,22.210957,1.405740e-05,7.610853e-06,TRUE
Track (20x降采样),112,3176,22.209383,1.405740e-05,7.610853e-06,TRUE
Track (20x降采样),128,3176,22.208123,1.405740e-05,7.610853e-06,TRUE
Track (20x降采样),144,3176,22.207494,1.405740e-05,7.610853e-06,TRUE
Track (20x降采样),160,3176,22.206549,1.405740e-05,7.610853e-06,TRUE
Track (20x降采样),176,3176,22.206234,1.405740e-05,7.610853e-06,TRUE
Track (20x降采样),192,3176,22.205605,1.405740e-05,7.610853e-06,TRUE
Track (40x降采样),16,1588,27.659320,1.401486e-05,7.635484e-06,TRUE
Track (40x降采样),24,1588,27.542821,1.401486e-05,7.635484e-06,TRUE
Track (40x降采样),32,1588,27.509446,1.401486e-05,7.635484e-06,TRUE
Track (40x降采样),48,1588,27.499370,1.401486e-05,7.635484e-06,TRUE
Track (40x降采样),64,1588,27.493703,1.401486e-05,7.635484e-06,TRUE
Track (40x降采样),80,1588,27.490554,1.401486e-05,7.635484e-06,TRUE
Track (40x降采样),96,1588,27.488665,1.401486e-05,7.635484e-06,TRUE
Track (40x降采样),112,1588,27.487406,1.401486e-05,7.635484e-06,TRUE
Track (40x降采样),128,1588,27.486146,1.401486e-05,7.635484e-06,TRUE
Track (40x降采样),144,1588,27.485516,1.401486e-05,7.635484e-06,TRUE
Track (40x降采样),160,1588,27.484257,1.401486e-05,7.635484e-06,TRUE
Track (40x降采样),176,1588,27.484257,1.401486e-05,7.635484e-06,TRUE
Track (40x降采样),192,1588,27.483627,1.401486e-05,7.635484e-06,TRUE
Trajectory (原始),16,97008,7.363681,1.408636e-05,7.597702e-06,TRUE
Trajectory (原始),24,97008,7.345879,1.408515e-05,7.597674e-06,TRUE
Trajectory (原始),32,97008,7.336787,1.409048e-05,7.597780e-06,TRUE
Trajectory (原始),48,97008,7.323458,1.408957e-05,7.597861e-06,TRUE
Trajectory (原始),64,97008,7.320664,1.408655e-05,7.597893e-06,TRUE
